1 0.0000 1.0000
2 0.0000 1.0000
3 0.3333 1.0000
4 0.2500 1.0000
5 0.4000 1.0000
6 0.5000 1.0000
7 0.4286 0.8571
8 0.3750 0.8750
9 0.4444 0.8889
10 0.5000 0.9000
11 0.4545 0.8182
12 0.4167 0.8333
13 0.4615 0.8462
14 0.5000 0.8571
15 0.5333 0.8667
16 0.5000 0.8750
17 0.5294 0.8824
18 0.5556 0.8889
19 0.5789 0.8947
20 0.6000 0.9000
21 0.6190 0.8571
22 0.5909 0.8636
23 0.6087 0.8696
24 0.5833 0.8333
25 0.5600 0.8400
26 0.5385 0.8462
27 0.5556 0.8148
28 0.5714 0.8214
29 0.5517 0.8276
30 0.5667 0.8333
31 0.5484 0.8387
32 0.5625 0.8438
33 0.5758 0.8485
34 0.5882 0.8529
35 0.6000 0.8286
36 0.5833 0.8333
37 0.5676 0.8378
38 0.5789 0.8421
39 0.5641 0.8462
40 0.5500 0.8500
41 0.5610 0.8537
42 0.5476 0.8571
43 0.5349 0.8605
44 0.5227 0.8636
45 0.5333 0.8667
46 0.5435 0.8696
47 0.5532 0.8723
48 0.5417 0.8750
49 0.5510 0.8571
50 0.5600 0.8600
51 0.5490 0.8627
52 0.5385 0.8462
53 0.5472 0.8491
54 0.5556 0.8519
55 0.5636 0.8545
56 0.5536 0.8571
57 0.5439 0.8421
58 0.5517 0.8276
59 0.5424 0.8305
60 0.5333 0.8333
61 0.5246 0.8197
62 0.5323 0.8226
63 0.5238 0.8254
64 0.5156 0.8281
65 0.5231 0.8308
66 0.5303 0.8333
67 0.5224 0.8358
68 0.5147 0.8382
69 0.5072 0.8406
70 0.5000 0.8286
71 0.4930 0.8310
72 0.5000 0.8194
73 0.4932 0.8219
74 0.5000 0.8108
75 0.5067 0.8133
76 0.5000 0.8158
77 0.4935 0.8182
78 0.5000 0.8205
79 0.4937 0.8101
80 0.4875 0.8125
81 0.4938 0.8148
82 0.5000 0.8171
83 0.5060 0.8072
84 0.5000 0.8095
85 0.5059 0.8118
86 0.5116 0.8023
87 0.5057 0.8046
88 0.5000 0.7955
89 0.4944 0.7978
90 0.5000 0.8000
91 0.5055 0.7912
92 0.5109 0.7935
93 0.5054 0.7957
94 0.5106 0.7979
95 0.5053 0.8000
96 0.5000 0.8021
97 0.4948 0.8041
98 0.5000 0.8061
99 0.4949 0.8081
100 0.4900 0.8100
